branch,period,age_group,virus,environment,n_months,rho_display,q_period,fdr05_period,status
minimal_corrected,2019,4-12,HRV,O3,10,0.4787878787878787,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,CO,10,0.5636363636363636,0.4013969687869872,False,computed_exploratory
minimal_corrected,2019,4-12,HRV,AQI,10,0.709090909090909,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,4-12,MP,windlevel,10,-0.2848484848484848,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,MP,temp,10,0.709090909090909,0.2302004357800321,False,computed_exploratory
minimal_corrected,2019,4-12,MP,humi,10,0.3454545454545454,0.6722711680738849,False,computed_exploratory
minimal_corrected,2019,4-12,MP,PM2.5,10,-0.6242424242424242,0.3261435866756592,False,computed_exploratory
minimal_corrected,2019,4-12,MP,PM10,10,-0.5515151515151515,0.4289282059958448,False,computed_exploratory
minimal_corrected,2019,4-12,MP,NO2,10,-0.3575757575757575,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,MP,SO2,10,-0.5030303030303029,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,MP,O3,10,-0.1636363636363636,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,MP,CO,10,-0.6606060606060605,0.2778271385712868,False,computed_exploratory
minimal_corrected,2019,4-12,MP,AQI,10,-0.5151515151515151,0.4693828677430339,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,windlevel,10,-0.2779985190491514,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,temp,10,-0.1874873733122184,0.8664785207711732,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,humi,10,0.2392080280190372,0.7996485312005733,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,PM2.5,10,0.3685096647860845,0.6550787393344795,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,PM10,10,0.0969762275752853,0.9211427661583907,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,NO2,10,0.1616270459588089,0.9166032341131534,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,SO2,10,0.3038588464025609,0.7388096310406082,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,O3,10,0.3297191737559702,0.7085049981019722,False,computed_exploratory
minimal_corrected,2019,4-12,HMPV,CO,10,0.3555795011093797,0.6550787393344795,False,computed_exploratory
