Year,Month,rate_display_pct,virus,branch,phase
2022,11,2.7777777777777777,RSV,minimal_corrected,phase2
2022,12,6.752411575562702,RSV,minimal_corrected,phase2
2023,1,0.3931847968545215,RSV,minimal_corrected,phase2
2023,2,0.6276150627615062,RSV,minimal_corrected,phase2
2023,3,0.7619047619047619,RSV,minimal_corrected,phase2
2023,4,2.8044280442804426,RSV,minimal_corrected,phase2
2023,5,6.349206349206349,RSV,minimal_corrected,phase2
2023,6,17.370242214532873,RSV,minimal_corrected,phase2
2023,7,17.903930131004365,RSV,minimal_corrected,phase2
2023,8,12.520593080724876,RSV,minimal_corrected,phase2
2023,9,11.846459298477829,RSV,minimal_corrected,phase2
2023,10,5.115712545676005,RSV,minimal_corrected,phase2
2023,11,1.2741558717349757,RSV,minimal_corrected,phase2
2023,12,0.2823451253944528,RSV,minimal_corrected,phase2
2024,1,0.1499250374812593,RSV,minimal_corrected,phase2
2024,2,0.9925558312655088,RSV,minimal_corrected,phase2
2024,3,2.384737678855326,RSV,minimal_corrected,phase2
2024,4,1.592920353982301,RSV,minimal_corrected,phase2
2024,5,1.596806387225549,RSV,minimal_corrected,phase2
2024,6,1.1389521640091116,RSV,minimal_corrected,phase2
2024,7,6.341463414634147,RSV,minimal_corrected,phase2
2024,8,2.631578947368421,RSV,minimal_corrected,phase2
2024,9,2.904564315352697,RSV,minimal_corrected,phase2
2024,10,3.314917127071823,RSV,minimal_corrected,phase2
2024,11,0.4784688995215311,RSV,minimal_corrected,phase2
2024,12,0.0,RSV,minimal_corrected,phase2
2025,1,1.2217194570135748,RSV,minimal_corrected,phase2
2025,2,1.2332439678284184,RSV,minimal_corrected,phase2
2025,3,3.732428502181289,RSV,minimal_corrected,phase2
2025,4,3.842364532019704,RSV,minimal_corrected,phase2
2025,5,5.110565110565111,RSV,minimal_corrected,phase2
2025,6,9.138381201044384,RSV,minimal_corrected,phase2
2025,7,21.26034373010821,RSV,minimal_corrected,phase2
2025,8,18.6010760953113,RSV,minimal_corrected,phase2
2025,9,20.65378900445765,RSV,minimal_corrected,phase2
2025,10,18.175338560228084,RSV,minimal_corrected,phase2
2025,11,3.793716656787196,RSV,minimal_corrected,phase2
2019,2,,ADV,minimal_corrected,phase2
2019,3,8.928571428571429,ADV,minimal_corrected,phase2
2019,4,18.22429906542056,ADV,minimal_corrected,phase2
2019,5,31.57894736842105,ADV,minimal_corrected,phase2
2019,6,22.916666666666664,ADV,minimal_corrected,phase2
2019,7,29.055690072639223,ADV,minimal_corrected,phase2
2019,8,28.651685393258425,ADV,minimal_corrected,phase2
2019,9,13.053613053613052,ADV,minimal_corrected,phase2
2019,10,6.885245901639345,ADV,minimal_corrected,phase2
2019,11,7.671232876712329,ADV,minimal_corrected,phase2
2019,12,7.028112449799197,ADV,minimal_corrected,phase2
2020,1,5.475880052151238,ADV,minimal_corrected,phase2
2020,2,1.3918629550321198,ADV,minimal_corrected,phase2
2020,3,1.0752688172043012,ADV,minimal_corrected,phase2
2020,4,0.4,ADV,minimal_corrected,phase2
2020,5,1.1560693641618496,ADV,minimal_corrected,phase2
2020,6,0.4694835680751174,ADV,minimal_corrected,phase2
2020,7,0.0,ADV,minimal_corrected,phase2
2020,8,0.8849557522123894,ADV,minimal_corrected,phase2
2020,9,0.8097165991902834,ADV,minimal_corrected,phase2
2020,10,2.013422818791946,ADV,minimal_corrected,phase2
2020,11,1.4492753623188406,ADV,minimal_corrected,phase2
2020,12,2.1929824561403506,ADV,minimal_corrected,phase2
2021,1,0.7518796992481203,ADV,minimal_corrected,phase2
2021,2,0.0,ADV,minimal_corrected,phase2
2021,3,1.0256410256410255,ADV,minimal_corrected,phase2
2021,4,1.015228426395939,ADV,minimal_corrected,phase2
2021,5,2.209944751381215,ADV,minimal_corrected,phase2
2021,6,1.3888888888888888,ADV,minimal_corrected,phase2
2021,7,1.8633540372670807,ADV,minimal_corrected,phase2
2021,8,0.0,ADV,minimal_corrected,phase2
2021,9,0.0,ADV,minimal_corrected,phase2
2021,10,1.5151515151515151,ADV,minimal_corrected,phase2
2021,11,0.4405286343612335,ADV,minimal_corrected,phase2
2021,12,0.9771986970684038,ADV,minimal_corrected,phase2
2022,1,1.3477088948787064,ADV,minimal_corrected,phase2
2022,2,2.6717557251908395,ADV,minimal_corrected,phase2
2022,3,1.4285714285714286,ADV,minimal_corrected,phase2
2022,4,0.9025270758122744,ADV,minimal_corrected,phase2
2022,5,0.7462686567164178,ADV,minimal_corrected,phase2
2022,6,1.002865329512894,ADV,minimal_corrected,phase2
2022,7,0.1506024096385542,ADV,minimal_corrected,phase2
