period,age_group,pathogen,environment,n_months,rho,p_value,q_period,q_age_panel,low_n,status
2019,1-3,PIV,NO2,10,0.0424242424242424,0.907363817812816,0.976277525494802,0.97217551908516,False,computed_exploratory
2019,1-3,PIV,SO2,10,-0.103030303030303,0.7769984634438898,0.9211427661583907,0.9081800222071438,False,computed_exploratory
2019,1-3,PIV,O3,10,-0.2969696969696969,0.4047016712701569,0.7388096310406082,0.6390026388476162,False,computed_exploratory
2019,1-3,PIV,CO,10,-0.406060606060606,0.2442822940866263,0.5975250358953451,0.4677746056977951,False,computed_exploratory
2019,1-3,PIV,AQI,10,-0.406060606060606,0.2442822940866263,0.5975250358953451,0.4677746056977951,False,computed_exploratory
2019,1-3,HRV,windlevel,10,0.6363636363636362,0.0479117261299754,0.3114269271621352,0.1724822140679117,False,computed_exploratory
2019,1-3,HRV,temp,10,-0.2242424242424242,0.5334005612725948,0.8096258519316172,0.7385546233005159,False,computed_exploratory
2019,1-3,HRV,humi,10,-0.8303030303030302,0.0029402270232795,0.1428110268450046,0.0661551080237888,False,computed_exploratory
2019,1-3,HRV,PM2.5,10,0.2727272727272727,0.4458383415427513,0.73943920060749,0.6687575123141271,False,computed_exploratory
2019,1-3,HRV,PM10,10,0.6848484848484848,0.0288827975067327,0.2584250303233983,0.1356789781434464,False,computed_exploratory
2019,1-3,HRV,NO2,10,-0.2121212121212121,0.5563057751029299,0.8280252908267199,0.7472764143173685,False,computed_exploratory
2019,1-3,HRV,SO2,10,0.3212121212121211,0.3654683104386702,0.726662137714315,0.6196729363729323,False,computed_exploratory
2019,1-3,HRV,O3,10,0.7575757575757575,0.0111434467996942,0.1979628325784954,0.0952762295832331,False,computed_exploratory
2019,1-3,HRV,CO,10,0.1151515151515151,0.7514196523258484,0.9211427661583907,0.9081800222071438,False,computed_exploratory
2019,1-3,HRV,AQI,10,0.6969696969696969,0.0250966758822518,0.2370241611101561,0.1254833794112591,False,computed_exploratory
2019,1-3,MP,windlevel,10,-0.0181818181818181,0.9602404181286244,0.99537116513333,0.982064063995184,False,computed_exploratory
2019,1-3,MP,temp,10,0.9636363636363636,7.320974809529922e-06,0.0024891314352401,0.0006588877328576,False,computed_exploratory
2019,1-3,MP,humi,10,0.2121212121212121,0.5563057751029299,0.8280252908267199,0.7472764143173685,False,computed_exploratory
2019,1-3,MP,PM2.5,10,-0.8060606060606059,0.0048620611019646,0.1836778638519962,0.0875170998353629,False,computed_exploratory
2019,1-3,MP,PM10,10,-0.7454545454545454,0.01333014631544,0.2119109485241996,0.0999760973658003,False,computed_exploratory
2019,1-3,MP,NO2,10,-0.6,0.0666879999999999,0.3670504218751866,0.2085450304590336,False,computed_exploratory
2019,1-3,MP,SO2,10,-0.7939393939393938,0.0060999233136969,0.1885430842415409,0.0914988497054536,False,computed_exploratory
2019,1-3,MP,O3,10,-0.1272727272727272,0.7260570147627894,0.9211427661583907,0.8951387853239869,False,computed_exploratory
2019,1-3,MP,CO,10,-0.6363636363636362,0.0479117261299754,0.3114269271621352,0.1724822140679117,False,computed_exploratory
2019,1-3,MP,AQI,10,-0.3696969696969697,0.2930500752928223,0.6550787393344795,0.5472083916421083,False,computed_exploratory
2019,1-3,HMPV,windlevel,10,-0.5951368255656533,0.0695150101530112,0.3670504218751866,0.2085450304590336,False,computed_exploratory
2019,1-3,HMPV,temp,10,-0.3129069907613228,0.3786890166723475,0.7388096310406082,0.6196729363729323,False,computed_exploratory
2019,1-3,HMPV,humi,10,0.4601573393548865,0.1808331709117258,0.5081262653717917,0.4068746345513833,False,computed_exploratory
2019,1-3,HMPV,PM2.5,10,0.3129069907613228,0.3786890166723475,0.7388096310406082,0.6196729363729323,False,computed_exploratory
2019,1-3,HMPV,PM10,10,-0.0184062935741954,0.959749871061638,0.99537116513333,0.982064063995184,False,computed_exploratory
2019,1-3,HMPV,NO2,10,0.6810328622452321,0.0301508840318769,0.2628538607907224,0.1356789781434464,False,computed_exploratory
2019,1-3,HMPV,SO2,10,0.0061354311913984,0.9865792494806584,1.0,0.9865792494806584,False,computed_exploratory
2019,1-3,HMPV,O3,10,-0.1901983669333531,0.5986683040717657,0.8649176302792283,0.7808717009631727,False,computed_exploratory
2019,1-3,HMPV,CO,10,0.2760944036129319,0.4400145222294611,0.7388096310406082,0.6687575123141271,False,computed_exploratory
2019,1-3,HMPV,AQI,10,-0.2024692293161501,0.5748125526418608,0.8421305982905984,0.7607813196730511,False,computed_exploratory
2019,1-3,HBOV,windlevel,10,0.9264501099011716,0.0001170712421773,0.0199021111701457,0.0052682058979797,False,computed_exploratory
2019,1-3,HBOV,temp,10,0.0920314678709773,0.8003776447383397,0.9211427661583907,0.9145500735271463,False,computed_exploratory
2019,1-3,HBOV,humi,10,-0.8405540732215928,0.0023217789500911,0.1315674738384987,0.0661551080237888,False,computed_exploratory
2019,1-3,HBOV,PM2.5,10,-0.0674897431053833,0.8530368033430833,0.9364874875430452,0.9478186703812036,False,computed_exploratory
